행정동_코드,행정동_명,lat,lng,영역_면적,피해건수,score
11140520,소공동,37.564255512847400,126.97437453532800,943795,16.0,16.95283403705250
11110515,청운효자동,37.584418720515900,126.96990686761800,2568432,0.0,0.0
11110530,사직동,37.57388621927960,126.9703752314620,1158536,172.0,148.46323290773900
11110540,삼청동,37.58836740902570,126.98120495147000,1479255,3.0,2.0280479024914600
11110550,부암동,37.59695874002610,126.96354926751000,2274739,117.0,51.4344722625321
11110560,평창동,37.61568263364910,126.96812734517600,8947328,27.0,3.017660691549480
11110570,무악동,37.577108233656,126.95858919704800,369520,4.0,10.824853864472800
11110580,교남동,37.57106436845540,126.96411655616300,346926,3.0,8.647377250479930
11110600,가회동,37.582511684291100,126.98655013933000,539955,0.0,0.0
11110615,종로1?2?3?4가동,37.57518693303820,126.98985699099700,2417171,0.0,0.0
11110630,종로5?6가동,37.572853710116700,127.00440346809000,603167,0.0,0.0
11110640,이화동,37.57971933130450,127.00302270933400,782395,8.0,10.225014219160400
11110650,혜화동,37.58746788473730,126.99742986464300,1132421,35.0,30.907233263954000
11110670,창신1동,37.5723664484761,127.01379895274400,305337,0.0,0.0
11110680,창신2동,37.57602485406750,127.01018840445300,257323,0.0,0.0
11110690,창신3동,37.5789527845504,127.013222802622,216835,0.0,0.0
11110700,숭인1동,37.57718636818080,127.01689037280600,239396,0.0,0.0
11110710,숭인2동,37.57449185020220,127.02034243045800,351906,0.0,0.0
11140540,회현동,37.55693997950530,126.97710457297600,897827,2.0,2.2276006402124200
11140550,명동,37.56395091134360,126.98430107112200,969729,19.0,19.59310281532260
11140570,필동,37.556869955485800,126.99377534693000,1464686,0.0,0.0
11140580,장충동,37.555563653364400,127.00216161451500,1017925,0.0,0.0
11140590,광희동,37.56515922990170,127.0037691620550,737204,0.0,0.0
11140605,을지로동,37.566618853519600,126.99655901615000,611524,0.0,0.0
11140615,신당동,37.5656900820627,127.0137071700540,534942,291.0,543.9842076337250
11140625,다산동,37.55494168855170,127.00836345470700,523971,370.0,706.1459508255230
11140635,약수동,37.55014822684120,127.0102867299520,486369,0.0,0.0
11140645,청구동,37.55687815267040,127.01518815511600,342571,0.0,0.0
11140650,신당5동,37.56363458123810,127.0218674854040,319706,0.0,0.0
11140665,동화동,37.560706894007500,127.01865228045600,327045,0.0,0.0
11140670,황학동,37.56853618353090,127.02085017986900,328640,23.0,69.98539435248300
11140680,중림동,37.55734276311020,126.96603581524200,484384,21.0,43.35403316377090
11290575,동선동,37.59364726779840,127.01851329837600,724957,2.0,2.7587843141041500
11290580,돈암1동,37.59975491807730,127.02440331435500,488898,0.0,0.0
11290590,돈암2동,37.59708092788350,127.01159540593000,518335,0.0,0.0
11290600,안암동,37.58772606240180,127.02721861973300,1379571,0.0,0.0
11290610,보문동,37.58282624761280,127.01913329976100,553006,3.0,5.42489593241303
11290620,정릉1동,37.60327909170650,127.01698686701200,412365,0.0,0.0
11290630,정릉2동,37.60367644346760,127.00850480334400,1094889,0.0,0.0
11290640,정릉3동,37.61210087867800,126.9945862123330,3327126,0.0,0.0
11290650,정릉4동,37.62394888586160,126.99490252916800,3570914,0.0,0.0
11290660,길음1동,37.608225098062800,127.01974004643100,797310,0.0,0.0
11290685,길음2동,37.60828669338950,127.02715815844100,588002,0.0,0.0
11290705,종암동,37.59743703440870,127.03386916402500,1404527,84.0,59.806611051264900
11290715,월곡1동,37.60783366466430,127.03654664097200,801757,0.0,0.0
11290725,월곡2동,37.60322653240500,127.0454002002380,1364901,0.0,0.0
11290760,장위1동,37.61510185456550,127.0446598787930,708546,0.0,0.0
11290770,장위2동,37.61235087910520,127.05189551729300,679894,0.0,0.0
11290780,장위3동,37.618260668448100,127.05345140283200,652601,0.0,0.0
11290810,석관동,37.60827386641210,127.06136066360700,1705061,66.0,38.70829254789130
